model,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,19500,Semi-Auto,49104,Diesel,160,51.4,3
 1 Series,19000,Semi-Auto,42792,Petrol,200,39.8,3
 2 Series,30000,Semi-Auto,5555,Petrol,145,38.2,3
 5 Series,42500,Semi-Auto,3555,Diesel,145,51.4,3
 3 Series,22500,Semi-Auto,16890,Diesel,160,51.4,3
 2 Series,36000,Semi-Auto,5550,Petrol,145,36.2,2
 3 Series,25000,Semi-Auto,23555,Diesel,145,49.6,3
 2 Series,14998,Manual,2683,Petrol,145,44.1,1.5
 3 Series,13298,Semi-Auto,46392,Diesel,0,74.3,2
 3 Series,12298,Semi-Auto,73845,Diesel,145,54.3,3
 5 Series,23998,Semi-Auto,14052,Diesel,145,62.8,2
 3 Series,26498,Semi-Auto,21165,Diesel,145,48.7,2
 4 Series,21998,Semi-Auto,19856,Diesel,145,65.7,2
 3 Series,23298,Semi-Auto,11974,Diesel,145,54.3,2
 1 Series,13500,Manual,31652,Diesel,30,62.8,2
 2 Series,17500,Automatic,6079,Diesel,145,51.4,2
 1 Series,16600,Manual,7000,Diesel,145,68.9,2
 2 Series,16450,Semi-Auto,10250,Diesel,30,62.8,2
 3 Series,14000,Manual,30679,Diesel,125,62.8,2
 1 Series,13500,Manual,16423,Diesel,150,72.4,1.5
 4 Series,25000,Manual,4000,Diesel,150,55.4,2
 3 Series,32000,Semi-Auto,15114,Diesel,150,49.6,3
 5 Series,30000,Semi-Auto,9750,Diesel,150,56.5,3
 5 Series,21900,Semi-Auto,38649,Diesel,145,65.7,2
 3 Series,34900,Semi-Auto,4600,Diesel,145,49.6,2
 1 Series,22700,Semi-Auto,14822,Diesel,145,60.1,2
 4 Series,27450,Semi-Auto,8142,Diesel,145,52.3,3
 4 Series,26800,Semi-Auto,7667,Diesel,145,58.9,2
 1 Series,16450,Semi-Auto,25499,Diesel,125,60.1,2
 3 Series,32000,Automatic,5557,Diesel,145,49.6,2
 2 Series,21000,Semi-Auto,2380,Petrol,145,40.9,1.5
 2 Series,21000,Manual,3078,Petrol,145,39.8,1.5
 2 Series,21000,Manual,1251,Petrol,145,42.8,1.5
 2 Series,23500,Semi-Auto,2664,Petrol,145,50.4,2
 2 Series,20500,Manual,1612,Petrol,145,42.8,1.5
 4 Series,20500,Semi-Auto,6668,Diesel,145,65.7,2
 2 Series,20500,Automatic,6679,Petrol,145,47.9,2
 2 Series,20500,Automatic,1689,Petrol,145,50.4,2
 5 Series,24998,Semi-Auto,24769,Diesel,145,60.1,3
 4 Series,20990,Semi-Auto,26706,Diesel,150,58.9,2
 2 Series,19500,Manual,1501,Petrol,145,42.8,1.5
 2 Series,23500,Semi-Auto,2164,Diesel,145,49.6,2
 5 Series,29500,Automatic,3388,Diesel,145,60.1,3
 2 Series,12000,Manual,28410,Petrol,30,57.6,1.5
 2 Series,24000,Automatic,477,Petrol,145,47.9,2
 5 Series,30000,Automatic,10654,Diesel,145,60.1,2
 4 Series,25450,Semi-Auto,1000,Diesel,150,60.1,2
 2 Series,19750,Semi-Auto,9014,Diesel,145,49.6,2
 5 Series,21900,Semi-Auto,23291,Diesel,145,65.7,2
 3 Series,27500,Semi-Auto,9329,Diesel,145,51.4,3
 1 Series,21514,Semi-Auto,15907,Petrol,150,39.8,3
 1 Series,22000,Manual,2574,Petrol,145,44.1,1.5
 1 Series,21000,Manual,1906,Petrol,145,44.1,1.5
 3 Series,31000,Semi-Auto,1397,Diesel,145,50.4,2
 5 Series,23500,Semi-Auto,23650,Diesel,145,53.3,3
 1 Series,10500,Manual,48255,Diesel,30,62.8,2
 3 Series,15000,Semi-Auto,21940,Diesel,125,58.9,2
 3 Series,17998,Semi-Auto,19950,Diesel,145,65.7,2
 1 Series,15498,Semi-Auto,15621,Diesel,30,65.7,2
 1 Series,29398,Semi-Auto,9983,Petrol,145,39.8,3
 3 Series,10420,Manual,53352,Petrol,200,43.5,2
 2 Series,17998,Semi-Auto,28099,Diesel,145,55.4,2
 1 Series,14398,Semi-Auto,21037,Diesel,20,68.9,1.5
 1 Series,18998,Manual,17888,Petrol,260,36.2,3
 5 Series,26498,Semi-Auto,16466,Diesel,145,60.1,2
 3 Series,12998,Semi-Auto,25243,Diesel,30,62.8,2
 3 Series,27998,Semi-Auto,9624,Diesel,150,52.3,2
 1 Series,14998,Manual,23879,Diesel,30,62.8,2
 1 Series,13998,Semi-Auto,38279,Diesel,125,60.1,2
 3 Series,11998,Manual,40325,Petrol,125,52.3,1.5
 5 Series,21498,Semi-Auto,34296,Diesel,145,65.7,2
 3 Series,19698,Semi-Auto,44075,Diesel,145,51.4,3
 3 Series,21498,Semi-Auto,13102,Diesel,145,51.4,3
 3 Series,11998,Manual,49669,Diesel,30,67.3,2
 3 Series,20498,Semi-Auto,7926,Diesel,145,56.5,3
 3 Series,18298,Semi-Auto,33384,Hybrid,0,134.5,2
 3 Series,13998,Semi-Auto,38417,Diesel,30,67.3,2
 1 Series,19298,Semi-Auto,10040,Diesel,145,67.3,2
 3 Series,26498,Semi-Auto,13579,Diesel,145,48.7,2
 3 Series,10998,Semi-Auto,74712,Petrol,205,42.8,2
 3 Series,10998,Manual,72315,Diesel,30,61.4,2
 3 Series,10998,Manual,44602,Diesel,30,61.4,2
 5 Series,13498,Semi-Auto,88333,Diesel,30,62.8,2
 1 Series,21998,Semi-Auto,4061,Petrol,145,54.3,1.5
 2 Series,17998,Semi-Auto,27997,Diesel,145,57.6,2
 1 Series,7998,Manual,74772,Diesel,30,65.7,2
 4 Series,21498,Semi-Auto,8441,Petrol,150,48.7,2
 1 Series,8298,Manual,60741,Diesel,30,65.7,2
 3 Series,23498,Semi-Auto,10629,Diesel,145,57.7,2
 3 Series,13798,Semi-Auto,46673,Diesel,0,74.3,2
 1 Series,16998,Semi-Auto,30954,Petrol,235,37.7,3
 1 Series,12498,Semi-Auto,14501,Diesel,0,78.5,1.5
 1 Series,17498,Manual,10374,Diesel,145,49.6,2
 1 Series,14498,Manual,24382,Diesel,20,70.6,1.5
 3 Series,18998,Semi-Auto,28332,Hybrid,0,134.5,2
 3 Series,20498,Semi-Auto,6160,Petrol,150,44.8,2
 3 Series,23298,Semi-Auto,11326,Diesel,145,54.3,2
 3 Series,21998,Semi-Auto,21784,Diesel,145,56.5,3
 1 Series,6998,Manual,73603,Diesel,30,62.8,2
 3 Series,11298,Manual,64308,Diesel,20,68.9,2
 3 Series,19498,Semi-Auto,56785,Diesel,145,51.4,3
 5 Series,18750,Semi-Auto,34219,Diesel,200,47.9,3
 3 Series,13995,Semi-Auto,46316,Petrol,160,46.3,2
 3 Series,16295,Manual,16604,Diesel,30,64.2,2
 3 Series,17695,Semi-Auto,24909,Diesel,145,62.8,2
 1 Series,16998,Manual,19154,Diesel,150,49.6,2
 2 Series,30000,Semi-Auto,914,Petrol,145,42.2,1.5
 1 Series,22000,Manual,2000,Petrol,145,44.1,1.5
 1 Series,15000,Semi-Auto,38689,Petrol,235,37.7,3
 3 Series,16998,Semi-Auto,31915,Diesel,145,53.3,3
 4 Series,19498,Semi-Auto,28912,Diesel,145,65.7,2
 5 Series,20998,Semi-Auto,21068,Diesel,145,62.8,2
 3 Series,17998,Semi-Auto,34118,Diesel,150,60.1,2
 3 Series,17498,Semi-Auto,27146,Diesel,150,56.5,3
 4 Series,17410,Automatic,37842,Diesel,145,65.7,2
 2 Series,18498,Semi-Auto,18245,Diesel,145,55.4,2
 3 Series,22998,Semi-Auto,16360,Diesel,145,57.7,2
 3 Series,26698,Semi-Auto,8273,Diesel,145,48.7,2
 4 Series,14998,Manual,24711,Petrol,160,46.3,2
 3 Series,14995,Manual,43400,Diesel,125,58.9,2
 3 Series,23498,Semi-Auto,7516,Diesel,145,54.3,2
 4 Series,21998,Semi-Auto,17740,Diesel,145,65.7,2
 3 Series,27298,Semi-Auto,8319,Diesel,145,48.7,2
 3 Series,26498,Semi-Auto,18526,Diesel,145,48.7,2
 1 Series,14698,Manual,14847,Diesel,150,72.4,1.5
 1 Series,17498,Semi-Auto,17063,Petrol,145,36.7,2
 1 Series,8998,Manual,34750,Diesel,30,65.7,2
 5 Series,27498,Semi-Auto,13197,Hybrid,140,156.9,2
 3 Series,12498,Semi-Auto,87795,Diesel,125,60.1,2
 1 Series,13998,Semi-Auto,50525,Diesel,30,65.7,2
 1 Series,13498,Semi-Auto,42001,Diesel,20,68.9,1.5
 1 Series,11998,Manual,20990,Diesel,30,64.2,2
 1 Series,10998,Automatic,56379,Petrol,145,48.7,1.6
 3 Series,12498,Manual,50730,Diesel,20,68.9,2
 3 Series,9998,Semi-Auto,46121,Diesel,30,62.8,2
 4 Series,19498,Semi-Auto,16463,Diesel,145,65.7,2
 3 Series,17498,Semi-Auto,39239,Hybrid,0,134.5,2
 5 Series,24498,Semi-Auto,15032,Diesel,145,68.9,2
 3 Series,22998,Semi-Auto,6394,Diesel,150,54.3,2
 3 Series,20998,Semi-Auto,14997,Diesel,145,51.4,3
